tournament name,season
3M Open,2019
3M Open,2020
3M Open,2021
A Military Tribute at The Greenbrier,2020
AT&T Byron Nelson,2015
AT&T Byron Nelson,2016
AT&T Byron Nelson,2017
AT&T Byron Nelson,2018
AT&T Byron Nelson,2019
AT&T Byron Nelson,2021
AT&T Byron Nelson,2022
AT&T Pebble Beach Pro-Am,2015
AT&T Pebble Beach Pro-Am,2016
AT&T Pebble Beach Pro-Am,2017
AT&T Pebble Beach Pro-Am,2018
AT&T Pebble Beach Pro-Am,2019
AT&T Pebble Beach Pro-Am,2020
AT&T Pebble Beach Pro-Am,2021
AT&T Pebble Beach Pro-Am,2022
Arnold Palmer Invitational Pres. by Mastercard,2015
Arnold Palmer Invitational Pres. by Mastercard,2017
Arnold Palmer Invitational Pres. by Mastercard,2018
Arnold Palmer Invitational Pres. by Mastercard,2019
Arnold Palmer Invitational Pres. by Mastercard,2020
Arnold Palmer Invitational Pres. by Mastercard,2021
Arnold Palmer Invitational Pres. by Mastercard,2022
BMW Championship,2015
BMW Championship,2016
BMW Championship,2017
BMW Championship,2018
BMW Championship,2019
BMW Championship,2020
BMW Championship,2021
Barbasol Championship,2016
Barbasol Championship,2017
Barbasol Championship,2018
Barbasol Championship,2019
Barbasol Championship,2021
Bermuda Championship,2020
Bermuda Championship,2021
Bermuda Championship,2022
CIMB Classic,2015
CIMB Classic,2016
CIMB Classic,2017
CIMB Classic,2018
CIMB Classic,2019
CareerBuilder Challenge,2016
CareerBuilder Challenge,2017
CareerBuilder Challenge,2018
Charles Schwab Challenge,2019
Charles Schwab Challenge,2020
Charles Schwab Challenge,2021
Charles Schwab Challenge,2022
Corales Puntacana Resort & Club Championship,2018
Corales Puntacana Resort & Club Championship,2019
Corales Puntacana Resort & Club Championship,2021
Corales Puntacana Resort & Club Championship,2022
Crowne Plaza Invitation,2015
Dean & Deluca Invitational,2016
Dean & Deluca Invitational,2017
Dell Technologies Championship,2017
Dell Technologies Championship,2018
Desert Classic,2019
Deutsche Bank Championship,2015
Deutsche Bank Championship,2016
Farmers Insurance Open,2015
Farmers Insurance Open,2016
Farmers Insurance Open,2017
Farmers Insurance Open,2018
Farmers Insurance Open,2019
Farmers Insurance Open,2020
Farmers Insurance Open,2021
Farmers Insurance Open,2022
FedEx St. Jude Classic,2015
FedEx St. Jude Classic,2016
FedEx St. Jude Classic,2017
FedEx St. Jude Classic,2018
Fort Worth Invitational,2018
Fortinet Championship,2022
Frys.com Open,2015
Genesis Open,2017
Genesis Open,2018
Genesis Open,2019
Hero World Challenge,2015
Hero World Challenge,2016
Hero World Challenge,2017
Hero World Challenge,2018
Hero World Challenge,2019
Hero World Challenge,2020
Hero World Challenge,2022
Houston Open,2018
Houston Open,2020
Houston Open,2021
Houston Open,2022
Humana Chalenge,2015
Hyundai Tournament of Champions,2015
Hyundai Tournament of Champions,2016
John Deere Classic,2015
John Deere Classic,2016
John Deere Classic,2017
John Deere Classic,2018
John Deere Classic,2019
John Deere Classic,2021
Masters Tournament,2015
Masters Tournament,2016
Masters Tournament,2017
Masters Tournament,2018
Masters Tournament,2019
Masters Tournament,2021
Masters Tournament,2022
Mayakoba Golf Classic,2019
Mayakoba Golf Classic,2020
Mayakoba Golf Classic,2021
Mayakoba Golf Classic,2022
Mexico Open,2022
Northern Trust Open,2015
Northern Trust Open,2016
Northern Trust Open,2021
OHL Classic at Mayakoba,2015
OHL Classic at Mayakoba,2016
OHL Classic at Mayakoba,2017
OHL Classic at Mayakoba,2018
PGA Championship,2015
PGA Championship,2016
PGA Championship,2017
PGA Championship,2018
PGA Championship,2019
PGA Championship,2020
PGA Championship,2021
PGA Championship,2022
Palmetto Championship at Congaree,2021
Puerto Rico Open,2015
Puerto Rico Open,2016
Puerto Rico Open,2017
Puerto Rico Open,2019
